Process Capture Log - 20260313_230324
--------------------------------------------------------------------------------
PID        Name                      Status          User                
7720       audiodg.exe               running         None                
7788       Antigravity.exe           running         DESKTOP-6HBDP9T\JMD 
7836       msedgewebview2.exe        running         DESKTOP-6HBDP9T\JMD 
7860       svchost.exe               running         None                
8140       dllhost.exe               running         DESKTOP-6HBDP9T\JMD 
8588       SystemSettings.exe        stopped         DESKTOP-6HBDP9T\JMD 
8716       LanWlanWwanSwitchingServ  running         None                
8864       vds.exe                   running         None                
8880       chrome.exe                running         DESKTOP-6HBDP9T\JMD 
8948       BraveCrashHandler.exe     running         None                
8972       BraveCrashHandler64.exe   running         None                
9124       svchost.exe               running         None                
9296       svchost.exe               running         None                
9316       chrome.exe                running         DESKTOP-6HBDP9T\JMD 
9428       CrossDeviceResume.exe     running         DESKTOP-6HBDP9T\JMD 
9436       MicTray64.exe             running         DESKTOP-6HBDP9T\JMD 
9548       Copilot.exe               running         DESKTOP-6HBDP9T\JMD 
9748       svchost.exe               running         None                
9808       svchost.exe               running         None                
9968       SmartConnect.exe          running         DESKTOP-6HBDP9T\JMD 
10016      svchost.exe               running         None                
10020      AggregatorHost.exe        running         None                
10088      OneDrive.exe              running         DESKTOP-6HBDP9T\JMD 
10200      svchost.exe               running         DESKTOP-6HBDP9T\JMD 
10228      svchost.exe               running         None                
10352      RuntimeBroker.exe         running         DESKTOP-6HBDP9T\JMD 
10372      M365Copilot.exe           running         DESKTOP-6HBDP9T\JMD 
10416      CoreSync.exe              running         DESKTOP-6HBDP9T\JMD 
10532      Antigravity.exe           running         DESKTOP-6HBDP9T\JMD 
10588      WidgetService.exe         running         DESKTOP-6HBDP9T\JMD 
10616      SearchIndexer.exe         running         None                
10656      SearchHost.exe            running         DESKTOP-6HBDP9T\JMD 
10680      StartMenuExperienceHost.  running         DESKTOP-6HBDP9T\JMD 
10724      LockApp.exe               stopped         DESKTOP-6HBDP9T\JMD 
10804      SDXHelper.exe             running         DESKTOP-6HBDP9T\JMD 
10812      HPAudioAnalytics.exe      running         None                
10876      Widgets.exe               running         DESKTOP-6HBDP9T\JMD 
10904      RuntimeBroker.exe         running         DESKTOP-6HBDP9T\JMD 
11164      svchost.exe               running         DESKTOP-6HBDP9T\JMD 
